tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N438AA,1987.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2.0,172.0,,Turbo-fan
N438SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N438UA,1997.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N438WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N439SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N439UA,1997.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N439WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N440AS,2013.0,Fixed wing multi engine,BOEING,737-990ER,2.0,222.0,,Turbo-fan
N440AS,2013.0,Fixed wing multi engine,BOEING,737-990ER,2.0,222.0,,Turbo-fan
N440LV,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N440SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N440UA,1997.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N441SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N441UA,1997.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N441WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N442AS,2013.0,Fixed wing multi engine,BOEING,737-990ER,2.0,222.0,,Turbo-fan
N442AS,2013.0,Fixed wing multi engine,BOEING,737-990ER,2.0,222.0,,Turbo-fan
N442SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N442UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N442WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N443SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N443UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N443WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N444UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N444WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N445SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N445UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N445WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N446SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N446UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N446WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N447SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N447UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N447WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N448SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N448UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N448WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N449SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N449UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N449WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N450WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N451UA,1998.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N451WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N452SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N452UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N452WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N453AS,,,BOEING,737-990ER           ,,,,
N453SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N453UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N453WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N454SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N454UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N454WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N455CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N455CA,,,CANNON B/LEWIS D,RV 4 180            ,,,,
N455SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N455UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N455WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N456UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N456WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N457AS,,,BOEING,737-990ER           ,,,,
N457SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N457UA,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N457WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N458UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N458WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N459AS,,,BOEING,737-990ER           ,,,,
N459SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N459UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N459WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N460SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N460UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N460WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N461AS,,,BOEING,737-990ER           ,,,,
N461SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N461UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N461WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N462AS,,,BOEING,737-990ER           ,,,,
N462UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N462WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N463SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N463UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N463WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N464AS,,,BOEING,737-990ER           ,,,,
N464SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N464UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N464WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N465SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N465UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N465WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N466SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N466UA,,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N467AS,,,BOEING,737-990ER           ,,,,
N467UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N467WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N468AS,,,BOEING,737-990ER           ,,,,
N468CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N468UA,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N468WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N469AS,,,BOEING,737-990ER           ,,,,
N469UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N469WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N470UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N470WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N471AS,,,BOEING,737-990ER           ,,,,
N471AS,,,AIRBUS,A300 B4-103         ,,,,
N471CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N471UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N472AS,,,BOEING,737-990ER           ,,,,
N472AS,,,AIRBUS,A300 B4-203         ,,,,
N472CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N472UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N472WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N473AA,1988.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,,Turbo-fan
N473AA,1988.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,,Turbo-fan
N473UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N473WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N474AA,,,CESSNA,172M                ,,,,
N474AS,,,BOEING,737-990ER           ,,,,
N474AS,,,AIRBUS,A300 B4-203         ,,,,
N474UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N474WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N475HA,,,BOEING,717-200             ,,,,
N475UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N475WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N476HA,,,BOEING,717-200             ,,,,
N476UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N476WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N477AS,,,BOEING,737-990ER           ,,,,
N477CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N477HA,,,BOEING,717-200             ,,,,
N477UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N477WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N478AS,,,BOEING,737-990ER           ,,,,
N478HA,,,BOEING,717-200             ,,,,
N478UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N478WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N479AS,,,BOEING,737-990ER           ,,,,
N479CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N479HA,,,BOEING,717-200             ,,,,
N479UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N479WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N480HA,,,BOEING,717-200             ,,,,
N480UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N480WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N481AS,,,BOEING,737-990ER           ,,,,
N481UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N481WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N482AA,1988.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,,Turbo-fan
N482UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N482WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N483AS,,,BOEING,737-990ER           ,,,,
N483HA,,,BOEING,717-200             ,,,,
N483UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N483WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N484HA,,,BOEING,717-200             ,,,,
N484UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N484WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N485HA,,,BOEING,717-200             ,,,,
N485UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N485WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N486AS,,,BOEING,737-990ER           ,,,,
N486HA,,,BOEING,717-200             ,,,,
N486UA,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N486WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N487AS,,,BOEING,737-990ER           ,,,,
N487CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N487HA,,,BOEING,717-200             ,,,,
N487UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N487WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N488HA,,,BOEING,717-200             ,,,,
N488UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N488WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N489HA,,,BOEING,717-200             ,,,,
N489UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N489WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N490HA,,,BOEING,717-200             ,,,,
N490UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N490WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N491AS,,,BOEING,737-990ER           ,,,,
N491HA,,,BOEING,717-200             ,,,,
N491UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N491WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N492AS,,,BOEING,737-990ER           ,,,,
N492HA,,,BOEING,717-200             ,,,,
N492UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N492WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N493AA,1989.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,,Turbo-fan
N493HA,,,BOEING,717-200             ,,,,
N493UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N493WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N494CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N494UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N494WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N495UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N495WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N496CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N496UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N496WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N497UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N497WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N498CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N498UA,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N498WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N499AA,1989.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,,Turbo-fan
N499WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N500WR,,,BOEING,737-8H4             ,,,,
N503JB,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N504JB,1999.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N504NK,,,AIRBUS,A319-132            ,,,,
N505JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N505NK,,,AIRBUS,A319-132            ,,,,
N506AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N506CA,,,BOMBARDIER,CL-600-2B19         ,,,,
N506CA,,,ROCKWELL INTERNATIONAL,112A                ,,,,
N506JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N506NK,,,AIRBUS,A319-132            ,,,,
N507AY,2008.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N507JB,,,PIPER,PA-23-250           ,,,,
N508AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N508AY,2008.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N508JB,2007.0,Fixed wing single engine,CIRRUS DESIGN,SR22,1.0,4.0,,Reciprocating
N509AY,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N509JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N509NK,,,AIRBUS,A319-132            ,,,,
N510JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N510UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N512AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N512NK,,,AIRBUS,A319-132            ,,,,
N513AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N514AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N514NK,,,AIRBUS,A319-132            ,,,,
N515NK,,,AIRBUS,A319-132            ,,,,
N516AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N516JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N516NK,,,AIRBUS,A319-132            ,,,,
N517AS,2008.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N517JB,2000.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N517NK,,,AIRBUS,A319-132            ,,,,
N518AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N518UA,1990.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,,Turbo-jet
N519AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N519JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N519MQ,1983.0,Fixed wing single engine,CESSNA,A185F,1.0,6.0,127.0,Reciprocating
N519NK,,,AIRBUS,A319-132            ,,,,
N519UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N520AA,1985.0,Fixed wing single engine,KILDALL GARY,FALCON-XP,1.0,2.0,,Reciprocating
N520AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N520JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N521JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N521UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N522NK,,,AIRBUS,A319-132            ,,,,
N523AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N523JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N523NK,,,AIRBUS,A319-132            ,,,,
N523UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N524AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N524JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N524NK,,,AIRBUS,A319-132            ,,,,
N524UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N524VA,2007.0,Fixed wing multi engine,AIRBUS,A319-112,2.0,100.0,,Turbo-fan
N525AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N525NK,,,AIRBUS,A319-132            ,,,,
N526AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N526NK,,,AIRBUS,A319-132            ,,,,
N527AS,,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N527JB,,,MOONEY,M20E                ,,,,
N527NK,,,AIRBUS,A319-132            ,,,,
N527VA,2008.0,Fixed wing multi engine,AIRBUS,A319-112,2.0,100.0,,Turbo-fan
N528AA,,Fixed wing single engine,LAMBERT RICHARD,FALCON XP,1.0,2.0,,Reciprocating
N528AS,2009.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N528NK,,,AIRBUS,A319-132            ,,,,
N529AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N529JB,2001.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N529NK,,,AIRBUS,A319-132            ,,,,
N530AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N530AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N530NK,,,AIRBUS,A319-132            ,,,,
N530VA,2008.0,Fixed wing multi engine,AIRBUS,A319-115,2.0,147.0,,Turbo-fan
N531AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N531AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N531NK,,,AIRBUS,A319-132            ,,,,
N532AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N532AS,2010.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N532NK,,,AIRBUS,A319-132            ,,,,
N533AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N533AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N534AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N534AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N534JB,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N534NK,,,AIRBUS,A319-132            ,,,,
N534UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N535AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N535AS,2011.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N535JB,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N535US,,,BOEING,757-251             ,,,,
N535UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N536AS,2012.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N536AS,2012.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N536JB,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N536US,,,BOEING,757-251             ,,,,
N536UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N537AS,2012.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N537JB,2012.0,Rotorcraft,ROBINSON HELICOPTER,R66,1.0,5.0,,Turbo-shaft
N537US,,,BOEING,757-251             ,,,,
N537UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N538AS,2012.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N538CA,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N538US,,,BOEING,757-251             ,,,,
N538UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N539US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N539UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N540US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N540UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N541US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N542US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N542UW,2009.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N543US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N543UW,2011.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N544US,,,BOEING,757-251             ,,,,
N544UW,2011.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N545US,,,BOEING,757-251             ,,,,
N545UW,2011.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N546AS,2005.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N546US,,,BOEING,757-251             ,,,,
N546UW,2011.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N547JB,2002.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N547US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N548AS,2005.0,Fixed wing multi engine,BOEING,737-890,2.0,149.0,,Turbo-fan
N548CA,,,BOMBARDIER,CL-600-2D24         ,,,,
N548US,1996.0,Fixed wing multi engine,BOEING,757-251,2.0,178.0,,Turbo-jet
N549AS,2005.0,Fixed wing multi engine,BOEING,737-8FH,2.0,149.0,,Turbo-jet
N549AS,2005.0,Fixed wing multi engine,BOEING,737-8FH,2.0,149.0,,Turbo-jet
N549CA,,,BOMBARDIER,CL-600-2D24         ,,,,
